name,price,marketPrice,description,year,country,category,stock,imageName
fa223her saab Black Specimen,500,750,The world's first adhesive postage stamp.,1840,UK,"Classic Items,Rare,Postal",5,main04.png
gand232hijike Service 10R,1200,1800,Extremely rare 1948 service overprint.,1948,India,"Gandhi Stamps,Rare,India",2,main03.png
virat 3saab Black Specimen,500,750,The world's first adhesive postage stamp.,1840,UK,"Ambar sariya,Ritik,Postal",5,main04.png
godljik3e Service 10R,1200,1800,Extremely rare 1948 service overprint.,1948,India,"Gandhi Stamps,yogmna,India",2,bal69.jpeg
modiji Service 10R,1200,1800,Extremely rare 1948 service overprint.,1948,India,"Gandhi Stamps,yogmna,India",2,bal69.jpeg
Victorian Crown Blue,450,600,Standard issue from the Victorian era.,1860,UK,"Victorian,Classic",10,main04.png
Azadi Mahotsav Special,150,300,Commemorative 75th independence stamp.,2022,India,"Modern,India,Commemorative",50,main03.png
Royal Airmail Scout,800,1100,Early airmail delivery specimen.,1935,UK,"Airmail,Postal",3,bal69.jpeg
Bengal Tiger Wildlife,200,350,Wildlife preservation series.,1975,India,"Wildlife,Nature",15,main04.png
Queen Elizabeth Coronation,900,1400,Rare 1953 coronation issue.,1953,UK,"Royal,Rare",1,main03.png
Mount Everest Summit,300,500,Celebrating the first ascent.,1953,Nepal,"Adventure,History",8,bal69.jpeg
Taj Mahal Heritage,120,250,Architectural marvel series.,1980,India,"Heritage,Architecture",25,main04.png
London Olympic 1948,750,1000,Post-war Olympic Games issue.,1948,UK,"Sports,Classic",4,main03.png
Saffron Field Harvest,180,300,Agriculture and culture series.,1990,India,"Culture,Agriculture",12,bal69.jpeg
Iron Man of India,250,450,Sardar Patel commemorative.,1960,India,"Leaders,History",9,main04.png
Deepavali Festival Gold,55,150,Festival of lights special edition.,2010,India,"Festival,Modern",100,main03.png
Penny Red Variant,1100,1650,Uncommon variation of the Penny Red.,1841,UK,"Classic,Rare",2,bal69.jpeg
ISRO Mars Mission,220,400,Mangalyaan orbital success.,2014,India,"Space,Modern",40,main04.png
Himalayan Monal Bird,90,180,High altitude fauna series.,2005,India,"Wildlife,Nature",30,main03.png
